#s_m,x_m,y_m, psi_rad, kappa_radpm,vx_mps, ax_mps2,heading,ld_m
93.193473,-13.8705159,25.5961934,5.5846431,0.0162445,8.0,0.0,-0.6968666261764279,0.6
93.393459,-13.7171531,25.467837,5.5880449,0.0177748,8.0,0.0,-0.6932696552659954,0.6
93.593445,-13.5633383,25.3400403,5.5918966,0.0209186,8.0,0.0,-0.6890856188173297,0.6
93.793431,-13.408983,25.2128824,5.5964135,0.0242528,8.0,0.0,-0.684235143387224,0.6
93.993417,-13.254013,25.0864749,5.6015974,0.0275976,8.0,0.0,-0.6787166085763056,0.6
94.193403,-13.0983532,24.9609289,5.6074528,0.0309631,8.0,-1.0911931,-0.6725238682521354,0.6
94.393389,-12.9419049,24.8363381,5.6139819,0.0343284,7.9726754,-3.2133618,-0.6656597022113488,0.6
94.593375,-12.7846206,24.7128363,5.6211805,0.0376623,7.8916601,-3.0654265,-0.6581276055406958,0.6
94.793361,-12.6264023,24.5905163,5.6290458,0.0409959,7.8135916,-2.9232126,-0.649929193368629,0.6
94.993347,-12.4671854,24.4694967,5.6375779,0.0443271,7.7384114,-2.7861699,-0.6410639984211008,0.6
95.193333,-12.3069071,24.3498972,5.6467754,0.0476569,7.6660695,-2.6534321,-0.631533147591382,0.6
95.393319,-12.1454902,24.2318263,5.6566398,0.0509917,7.5965336,-2.5244951,-0.6213353811722598,0.6
95.593305,-11.9828824,24.115411,5.6671713,0.0543323,7.5297805,-2.3986291,-0.6104696494176894,0.6
95.7932909,-11.8190183,24.0007687,5.678372,0.0576837,7.4658027,-2.2755255,-0.5989328950911862,0.6
95.9932769,-11.653841,23.8880234,5.6902439,0.0610436,7.4045975,-2.1543601,-0.586725464856663,0.6
96.1932629,-11.4872998,23.7773029,5.7027891,0.0644189,7.3461813,-2.0347611,-0.5738416139887293,0.6
96.3932489,-11.3193518,23.668741,5.7160105,0.0678085,7.2905784,-1.9161117,-0.5602807402557051,0.6
96.5932349,-11.1499362,23.5624597,5.7299121,0.0712154,7.2378272,-1.7976752,-0.5460385667574289,0.6
96.7932209,-10.9790333,23.4586075,5.7444967,0.0746449,7.1879846,-1.6791149,-0.5311096124185771,0.6
96.9932069,-10.8065976,23.3573173,5.7597691,0.0780942,7.141115,-1.559296,-0.5154910327306281,0.6
97.1931929,-10.6325942,23.2587287,5.7757351,0.0815754,7.0973128,-1.437946,-0.49917730194097176,0.6
97.3931789,-10.4570256,23.1630026,5.7923982,0.0850834,7.0566784,-1.3141189,-0.48216069483096813,0.6
97.5931649,-10.2798251,23.0702629,5.8097687,0.0886255,7.0193376,-1.186886,-0.46443568095028503,0.6
97.7931509,-10.1010287,22.9806885,5.8278498,0.0922074,6.9854405,-1.1677069,-0.44599551740147125,0.6
97.9931369,-9.9206094,22.8944254,5.8466507,0.095824,6.9519298,-1.1565303,-0.4268301779490317,0.6
98.1931229,-9.7385566,22.8116296,5.8661815,0.0994936,6.91858,-1.1454607,-0.40693270672090887,0.6
98.3931089,-9.5549263,22.7324869,5.8864473,0.1032081,6.8853901,-1.134497,-0.386291600589333,0.6
98.5930949,-9.3696561,22.6571326,5.9074659,0.1069781,6.8523594,-1.1236383,-0.3648950436451941,0.6
98.7930809,-9.1828465,22.585771,5.9292418,0.1108124,6.8194872,-1.1128835,-0.34273405389327044,0.6
98.9930668,-8.9944993,22.5185657,5.9517901,0.1147008,6.7867727,-1.1022316,-0.3197934011813598,0.6
99.1930528,-8.804641,22.4556922,5.9751262,0.1186704,6.7542151,-1.0916817,-0.29606089674700375,0.6
99.3930388,-8.6133904,22.3973559,5.9992579,0.122712,6.7218137,-1.0812328,-0.2715180178893613,0.6
99.5930248,-8.4207046,22.3437135,6.0242133,0.1268378,6.6895678,-1.0708839,-0.24614942622383332,0.6
99.7930108,-8.2267603,22.2949861,6.049999,0.131063,6.6574765,-1.060634,-0.21993846942893833,0.6
99.9929968,-8.0316019,22.2513575,6.0766382,0.1353663,6.6255392,-1.0504822,-0.1928639507293961,0.6
100.1929828,-7.8353116,22.2130237,6.1041522,0.1397883,6.5937551,-1.0404276,-0.16490768057544108,0.6
100.3929688,-7.6380823,22.180201,6.1325543,0.1443229,6.5621234,-1.0304693,-0.13604281217721326,0.6
100.5929548,-7.4399135,22.153074,6.1618852,0.1489781,6.5306435,-1.0206062,-0.10624502551158906,0.6
